Probability,min_prob,max_prob,events,nonevents,event_rate,nonevent_rate,cum_eventrate,cum_noneventrate,KS,bad_rate,Lift
1,0.7010922431945801,0.7985410094261169,23.0,401.0,10.95%,1.439856%,10.95%,1.44%,9.5,5.4245283018867925,7.25
2,0.500419557094574,0.6995985507965088,22.0,721.0,10.48%,2.588869%,21.43%,4.03%,17.4,2.9609690444145356,3.96
3,0.3000152111053467,0.49894773960113525,43.0,1871.0,20.48%,6.718133%,41.90%,10.75%,31.2,2.246603970741902,3.0
4,0.20003148913383484,0.2999707758426666,36.0,3053.0,17.14%,10.962298%,59.05%,21.71%,37.3,1.165425704111363,1.56
5,0.10001789778470992,0.19999626278877256,51.0,8821.0,24.29%,31.673250%,83.33%,53.38%,30.0,0.5748422001803427,0.77
6,0.005904353689402342,0.0999998301267624,35.0,12983.0,16.67%,46.617594%,100.00%,100.00%,0.0,0.26885850361038566,0.36
7,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
8,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
9,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
10,,,0.0,0.0,0.00%,0.000000%,100.00%,100.00%,0.0,,
